질병명,항목,내용
교액성 서혜탈장 또는 대퇴탈장,병원 방문 필요 증상,없음
교액성 서혜탈장 또는 대퇴탈장,자가 관리 방법,없음
구강궤양 - 아프타성구내염,구강궤양 - 아프타성구내염자가 관리 방법,"벤조카인 플루오시노나이드 또는 과산화수소가 함유된 일반 크림 페이스트 또는 젤을 사용합니다" 통증과 과민을 유발할 수 있는 자극이 심하고 매운 산성 음식은 피하세요 하루에 2번 아프타 부위에 얼음을 댑니다 하루에 두 번 또는 매 식사 후에 양치질을 합니다 아프타가 생기면 덱사메타손 또는 리도카인이 함유된 구강 세정액에 대해 일반의와 상의하세요
구강궤양 - 아프타성구내염,구강궤양 - 아프타성구내염증상,입 궤양 또는 염증 경계가 명확한 궤양 입안 통증 이통 입천장에 얼룩이 있음
구강궤양 - 아프타성구내염,병원을 꼭 방문해야 하는구강궤양 - 아프타성구내염증상,초기 치료 후 2주 넘게 증상이 지속됩니다 고열(39ºC 이상) 아프타 출혈
구강백반증,구강백반증증상,뺨 안쪽의 흰색 반점 희끄무레한 혀 반점
구강백반증,병원 방문 필요 증상,없음
구강백반증,자가 관리 방법,없음
구강 외상 - 구강 타박상,구강 외상 - 구강 타박상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 뜨거운 음료는 섭취하지 마세요
구강 외상 - 구강 타박상,구강 외상 - 구강 타박상증상,입안 통증 턱 관절 통증 씹을 때 통증이 심해짐 구강 출혈 입안이 부음
구강 외상 - 구강 타박상,병원을 꼭 방문해야 하는구강 외상 - 구강 타박상증상,멍이 1주일이 지나도 사라지지 않거나 악화되는 경우 진통제로도 멈추지 않는 통증 지속적인 출혈 및 의치 병변 의식수준 상실
구강 칸디다증 - 구강아구창,구강 칸디다증 - 구강아구창자가 관리 방법,구강 위생을 개선합니다 틀니 소독 소금 반 큰술과 미지근한 물 1컵으로 볼 쪽을 헹굽니다 국소 또는 경구용 항진균제 치료에 대해 일반의와 상의하세요.
구강 칸디다증 - 구강아구창,구강 칸디다증 - 구강아구창증상,입 및/또는 혀 내벽에 흰색 솜털 같은 층이 있음 삼키기가 고통스러움 혀의 백태를 긁을 때 출혈 발생 미각 변화 미각 소실
구강 칸디다증 - 구강아구창,병원을 꼭 방문해야 하는구강 칸디다증 - 구강아구창증상,발열(38ºC를 초과하는 체온) "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
구강 칸디다증 - 구강아구창 (소아청소년과),구강 칸디다증 - 구강아구창 (소아청소년과)자가 관리 방법,"젤 또는 크림형의 항진균제(니스타틴 플루코나졸 클로트리마졸)에 대해 일반의와 상의하세요." 구강 위생을 개선합니다 재사용 가능한 젖병 젖꼭지와 고무 젖꼭지는 사용 후 매번 삶아야 합니다.
구강 칸디다증 - 구강아구창 (소아청소년과),구강 칸디다증 - 구강아구창 (소아청소년과)증상,입 및/또는 혀 내벽에 흰색 솜털 같은 층이 있음 삼키기가 고통스러움 혀의 백태를 긁을 때 출혈 발생 수유에 어려움이 있음 과민성
구강 칸디다증 - 구강아구창 (소아청소년과),병원을 꼭 방문해야 하는구강 칸디다증 - 구강아구창 (소아청소년과)증상,발열(38ºC를 초과하는 체온) 초기 치료 후 2주 넘게 증상이 지속됩니다 축축하고 창백한 피부 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다." 빠른 호흡
구순염,구순염자가 관리 방법,구강 위생을 개선합니다 "보습제 크림 또는 코르티코스테로이드가 함유된 연고를 바릅니다" 곪은 병변을 만지지 마세요 "식사량을 줄이고 산성 음식 매우 뜨겁거나 매운 음식 섭취를 줄입니다"
구순염,구순염증상,입술 꼬리 궤양 또는 구순염 고통스럽고 갈라진 입술 붉어지거나 갈라진 입술 얼굴의 뾰루지(여드름)
구순염,병원을 꼭 방문해야 하는구순염증상,발열(38ºC를 초과하는 체온) 영향을 받은 부위에 통증이 있고 붉게 변하는 궤양 가렵고 갈라지고 투명한 액체나 고름이 흘러나오는 붉은 궤양
군발두통,군발두통자가 관리 방법,이부프로펜이나 파라세타몰과 같은 진통제를 복용하고 일반의와 다른 치료법에 대해 상의합니다 "카페인 알코올 담배 또는 스크린을 피하세요."
군발두통,군발두통증상,눈 뒤쪽 두통 밤에 및/또는 깰 때 두통 두통 한쪽 눈의 동공이 작음 급성 두통
군발두통,병원을 꼭 방문해야 하는군발두통증상,발열(38ºC를 초과하는 체온) 목 강직 발작을 동반하는 경우 사지의 민감성 및/또는 운동성 외상성 상해를 겪은 적이 있는 경우입니다. 흐린 시야. 구토물
군발 두통 또는 호튼 두통 (소아청소년과),군발 두통 또는 호튼 두통 (소아청소년과)자가 관리 방법,이부프로펜이나 파라세타몰과 같은 진통제를 복용하고 일반의와 다른 치료법에 대해 상의합니다 "카페인 알코올 담배 또는 스크린을 피하세요."
군발 두통 또는 호튼 두통 (소아청소년과),군발 두통 또는 호튼 두통 (소아청소년과)증상,국소적 두통 두통 눈 뒤쪽 두통 밤에 및/또는 깰 때 두통 한쪽 눈만 충혈됨
군발 두통 또는 호튼 두통 (소아청소년과),병원을 꼭 방문해야 하는군발 두통 또는 호튼 두통 (소아청소년과)증상,발열(38ºC를 초과하는 체온) 목 강직 발작을 동반하는 경우 사지의 민감성 및/또는 운동성 외상성 상해를 겪은 적이 있는 경우입니다. 흐린 시야. 구토물
궤양성 대장염 - 염증성장질환,궤양성 대장염 - 염증성장질환자가 관리 방법,"균형 잡힌 식단을 유지하고 수용성 섬유질(과일 및 채소)을 섭취하며 가스를 생성하는 음식(콩 양배추 콜리플라워 브로콜리) 보존제가 함유된 탄산음료 합성 감미료 및 정제 설탕은 섭취하지 않는 것이 좋습니다." 하루에 물 2리터를 섭취합니다. 일주일에 3번 규칙적으로 운동합니다 심리적 스트레스를 유발하는 상황을 줄입니다 설사가 있는 경우 로페라마이드와 같은 지사제에 대해 일반의와 상의하세요 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 담배 소비량을 줄입니다 "코르티코스테로이드 면역계 억제제 및/또는 생물학적 약물에 대해 일반의와 상의하세요."
궤양성 대장염 - 염증성장질환,궤양성 대장염 - 염증성장질환증상,묽은 피가 섞여 있는 대변 흑변 출혈성 설사 대변 내 고름 왼쪽 아랫배에 통증이 있음
궤양성 대장염 - 염증성장질환,병원을 꼭 방문해야 하는궤양성 대장염 - 염증성장질환증상,발열(38ºC를 초과하는 체온) 일상적인 활동을 할 수 없을 정도의 극심한 복통 대변 배설물 내 혈액
귀두염,귀두염자가 관리 방법,소금물과 피부연화제로 귀두 및 음경꺼풀을 씻습니다 염증이 있는 동안에는 비누를 사용하지 마세요 항진균제 및/또는 항생제에 대해 일반의와 상의하세요
귀두염,귀두염증상,귀두의 작열감 귀두에 염증이 있는 음경 음경의 귀두가 붉어짐 귀두 통증 귀두 가려움증
귀두염,병원을 꼭 방문해야 하는귀두염증상,발열(38ºC를 초과하는 체온) 포피가 음경 머리(귀두) 뒤에 남아 있으며 정상 위치로 돌아갈 수 없음
귀두염 (소아청소년과),귀두염 (소아청소년과)자가 관리 방법,소금물과 피부연화제로 귀두 및 음경꺼풀을 씻습니다 염증이 있는 동안에는 비누를 사용하지 마세요
귀두염 (소아청소년과),귀두염 (소아청소년과)증상,귀두 가려움증 귀두에 염증이 있는 음경 음경의 귀두가 붉어짐 귀두의 작열감 귀두 피부 병변
귀두염 (소아청소년과),병원을 꼭 방문해야 하는귀두염 (소아청소년과)증상,포피가 음경 머리(귀두) 뒤에 남아 있으며 정상 위치로 돌아갈 수 없음 발열(38ºC를 초과하는 체온)
귀 외상 - 귀 타박상,귀 외상 - 귀 타박상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다
귀 외상 - 귀 타박상,귀 외상 - 귀 타박상증상,이통 귀를 움직일 때 통증이 증가함 붉어진/부은 귀 이명이 있음 외상 부위의 멍
귀 외상 - 귀 타박상,병원을 꼭 방문해야 하는귀 외상 - 귀 타박상증상,멍이 1주일이 지나도 사라지지 않거나 악화되는 경우 진통제로도 멈추지 않는 통증 지속적인 귀 출혈 청력상실 균형 상실 의식수준 상실
귀의 대상포진 - 귀대상포진 - 램지-­헌트 증후군,귀의 대상포진 - 귀대상포진 - 램지-­헌트 증후군자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 항바이러스 치료에 대해 일반의와 상의하세요
귀의 대상포진 - 귀대상포진 - 램지-­헌트 증후군,귀의 대상포진 - 귀대상포진 - 램지-­헌트 증후군증상,귀에 통증이 발생한 후 나타난 수포 이통 외이의 수포 귀 앞부분의 림프절이 부음 "얼굴 목 및/또는 입천장에 소수포가 있음"
귀의 대상포진 - 귀대상포진 - 램지-­헌트 증후군,병원을 꼭 방문해야 하는귀의 대상포진 - 귀대상포진 - 램지-­헌트 증후군증상,발열(38ºC를 초과하는 체온) 청력상실 진통제로도 멈추지 않는 통증
귀 절단,귀 절단자가 관리 방법,눌러서 출혈을 멈춥니다 상처에 달라붙지 않는 깨끗한 붕대를 감습니다
귀 절단,귀 절단증상,귀 외상성 절단 귀 상처/자상 귀를 통한 출혈 출혈 외상성 절단
귀 절단,병원 방문 필요 증상,없음
귀지색전,귀지색전자가 관리 방법,"베이비 오일 귀 점적약제 글리세린 또는 물을 사용하여 귀지를 제거합니다" 솜 면봉을 사용하지 마세요
귀지색전,귀지색전증상,청력 완전 소실 한쪽 귀의 부분 청력 상실 귀 내부에 압박감이 느껴짐 귀 불편감 이명이 있음
귀지색전,병원을 꼭 방문해야 하는귀지색전증상,발열(38ºC를 초과하는 체온) 눈 통증 및/또는 귀통증입니다. 지속적인 귀 출혈
귀진균증,귀진균증자가 관리 방법,귀의 위생 개선 귀를 건조한 상태로 유지하세요 항진균제 및/또는 항생제에 대해 일반의와 상의하세요 솜 면봉을 사용하지 마세요 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다"
귀진균증,귀진균증증상,귀 가려움 귀에서 체액 배출 귀 불편감 이통 부분 청력 소실
귀진균증,병원을 꼭 방문해야 하는귀진균증증상,잇몸의 붉어짐 고열(39ºC 이상)
귀 화상,귀 화상자가 관리 방법,타지 않았거나 달라붙지 않은 옷을 제거합니다 찬물을 5~10분 동안 좁은 부위에 묻힙니다 "진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
귀 화상,귀 화상증상,화상 피부가 붉어짐 피부 소수포/수포 피부가 타는 듯한 느낌 이통
귀 화상,병원을 꼭 방문해야 하는귀 화상증상,피부가 거칠거나 검게 보이는 화상 화학 물질 또는 전기로 인한 화상 호흡곤란 호흡곤란 감각 "감염징후가 있는 상처(열 발적 고통스러운 감각 발열 부기)"
극도로 빠른 호흡/극심한 빈호흡,극도로 빠른 호흡/극심한 빈호흡증상,호흡이 곤란한 느낌 호흡기 피로 콧구멍의 돌출 및 단일 수축 손톱 및/또는 입술이 푸르스름함
극도로 빠른 호흡/극심한 빈호흡,병원 방문 필요 증상,없음
극도로 빠른 호흡/극심한 빈호흡,자가 관리 방법,없음
극심한 서맥,극심한 서맥증상,어지러움 의식을 잃음 지침/피로 흉통 호흡이 곤란한 느낌
극심한 서맥,병원 방문 필요 증상,없음
극심한 서맥,자가 관리 방법,없음
근골격 흉통,근골격 흉통자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 있는 부위에 열을 가합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
근골격 흉통,근골격 흉통증상,촉진하면 가슴 통증이 심해짐 흉통 찌르는 듯한 흉통 격렬하고 간헐적인 흉통 통증으로 인해 숨을 깊게 들이쉬지 못함
근골격 흉통,병원을 꼭 방문해야 하는근골격 흉통증상,발열(38ºC를 초과하는 체온) 부기 및 편측 목 통증 진통제로도 멈추지 않는 통증 삼키기 어려움 목 및/또는 팔 쪽으로 퍼지는 통증 "점액 고름 혈액이 섞인 가래" 과도한 발한 두근거림 구토물
근위축측삭경화증,근위축측삭경화증증상,한쪽 다리의 힘 상실 동작을 조절하지 못해요 양쪽 다리에 힘이 상실됨 한쪽 팔의 근육 위축 한 손의 악력 상실
근위축측삭경화증,병원 방문 필요 증상,없음
근위축측삭경화증,자가 관리 방법,없음
근육성 요통 - 기계적 또는 외상성 요통,근육성 요통 - 기계적 또는 외상성 요통자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다. "통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." 증상이 있는 부위에 열을 가합니다
근육성 요통 - 기계적 또는 외상성 요통,근육성 요통 - 기계적 또는 외상성 요통증상,등 통증 아래 허리 통증 통증이 움직이면 심해지고 휴식을 취하면 호전됨 양쪽 다리가 감각이 없음 서 있을 때 허리 통증이 심해짐
근육성 요통 - 기계적 또는 외상성 요통,병원을 꼭 방문해야 하는근육성 요통 - 기계적 또는 외상성 요통증상,발열(38ºC를 초과하는 체온) 야경증 사지를 움직일 수 없음 진통제로도 멈추지 않는 통증
근육 타박상,근육 타박상자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 사지를 올린 상태를 유지합니다 갑자기 움직이지 마세요
근육 타박상,근육 타박상증상,외상 부위의 멍 사지 종창 통증
근육 타박상,병원을 꼭 방문해야 하는근육 타박상증상,멍이 1주일이 지나도 사라지지 않거나 악화되는 경우 진통제로도 멈추지 않는 통증 사지를 움직일 수 없음 타박상을 입은 곳을 누르면 퉁김소리가 납니다
근육 파열,근육 파열자가 관리 방법,"통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
근육 파열,근육 파열증상,통증이 움직이면 심해지고 휴식을 취하면 호전됨 증상이 나타난 사지를 움직이기가 어려움 통증 부위의 멍 종창 찌르는 듯한 통증
근육 파열,병원을 꼭 방문해야 하는근육 파열증상,진통제로도 멈추지 않는 통증 근육 쇠약 콜라색 또는 어두운 색의 소변
근힘줄에서 기원한 견갑통 - 이두근 건염,근힘줄에서 기원한 견갑통 - 이두근 건염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 갑자기 움직이지 마세요 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 물리치료에 대해 일반의와 상의하세요
근힘줄에서 기원한 견갑통 - 이두근 건염,근힘줄에서 기원한 견갑통 - 이두근 건염증상,어깨 통증 이두근에서 딱 소리가 나고 팔 통증 및 쇠약이 나타남 제한적인 어깨 움직임 오른쪽 어깨 통증 관절을 움직이면 두 개의 고무 표면이 서로 마찰되는 느낌을 받음
근힘줄에서 기원한 견갑통 - 이두근 건염,병원을 꼭 방문해야 하는근힘줄에서 기원한 견갑통 - 이두근 건염증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온)
급성 E형 간염,급성 E형 간염자가 관리 방법,하루에 물 2리터를 섭취합니다.
급성 E형 간염,급성 E형 간염증상,황색 피부 및 점막 희끄무레한 대변 콜라 색의 어두운 소변 오른쪽 상복부 통증 식욕 상실
급성 E형 간염,병원을 꼭 방문해야 하는급성 E형 간염증상,탈수 증상: 평소보다 더 피곤하고 어지럽고 입과 혀가 마릅니다. 의식수준 상실
급성 감염후 소뇌염 (소아청소년과),급성 감염후 소뇌염 (소아청소년과)자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다. "구토가 있는 경우 항구토제(디멘히드리네이트 차살리실산 비스무트 온단세트론 메토클로프라미드)를 복용합니다"
급성 감염후 소뇌염 (소아청소년과),급성 감염후 소뇌염 (소아청소년과)증상,떨림 근육이완증 힘 빠짐을 느낌 걷는 데 어려움이 있음 걸을 때 평소보다 다리를 더 벌려야 함
급성 감염후 소뇌염 (소아청소년과),병원 방문 필요 증상,없음
급성 고산병 - AMS,급성 고산병 - AMS자가 관리 방법,"제한 높이 아래로 하강합니다(2500미터 미만)" 하루에 물 2리터를 섭취합니다.
급성 고산병 - AMS,급성 고산병 - AMS증상,두통 아침 두통 호흡이 곤란한 느낌 지속적 두통 관자놀이에 두통이 있음
급성 고산병 - AMS,병원 방문 필요 증상,없음
급성백혈병 (소아청소년과),급성백혈병 (소아청소년과)자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 일주일에 3번 규칙적으로 운동합니다
급성백혈병 (소아청소년과),급성백혈병 (소아청소년과)증상,피부 표면의 멍 골 통증 창백함 지침/피로 코피
급성백혈병 (소아청소년과),병원을 꼭 방문해야 하는급성백혈병 (소아청소년과)증상,발열(38ºC를 초과하는 체온) 과도한 발한 일주일에 체중을 10% 감량합니다
급성 비강 카타르 (소아청소년과),급성 비강 카타르 (소아청소년과)자가 관리 방법,하루에 물 2리터를 섭취합니다. 가습기로 하루 2번 가습합니다 생리적 혈청 점적약제로 코를 헹굽니다 손 씻기는 감염 확산을 방지하는 효과적인 방법입니다
급성 비강 카타르 (소아청소년과),급성 비강 카타르 (소아청소년과)증상,코가 콧물로 막힘 코 막힘 콧속에 녹색 점액이 있음 재채기 콧물
급성 비강 카타르 (소아청소년과),병원을 꼭 방문해야 하는급성 비강 카타르 (소아청소년과)증상,유아가 장시간 동안 액체를 섭취하지 않습니다 과민성 또는 자극에 대한 반응 감소 호흡곤란 발열(38ºC를 초과하는 체온) 빠른 호흡 눈 통증 및/또는 귀통증입니다. 눈의 노르스름한 분비물 3주 동안 약을 복용해도 증상이 지속됩니다.
급성소변정체 - AUR,급성소변정체 - AUR증상,소변을 볼 수 없음 배뇨 곤란 골반 부위 통증 소변 내 혈액이 섞여 나옴 골반에서 압박감이 느껴짐
급성소변정체 - AUR,병원 방문 필요 증상,없음
급성소변정체 - AUR,자가 관리 방법,없음
급성 신우신염,급성 신우신염자가 관리 방법,열이 있는 경우(체온이 38°C 초과) 일반 해열제(이부프로펜 또는 파라세타몰)를 복용합니다 항문 부위의 미생물이 요도(소변이 나오는 구멍)와 접촉하지 않도록 주의하세요. 하루에 물 2리터를 섭취합니다.
급성 신우신염,급성 신우신염증상,소변을 볼 때 불편함 탁한 색을 띠거나 악취를 풍기는 소변 불편감이 동반되는 지속적인 배뇨감을 느낌 허리의 한쪽이 다른 쪽보다 통증이 더 심함 소량의 소변을 하루에 여러 번 봄
급성 신우신염,병원 방문 필요 증상,없음
급성 심장 발작 - ST분절 상승을 동반하는 급성 관상 동맥 증후군,급성 심장 발작 - ST분절 상승을 동반하는 급성 관상 동맥 증후군증상,답답한 흉통 흉통이 팔로 이어짐 흉통 가슴 중앙의 통증 과도 발한
급성 심장 발작 - ST분절 상승을 동반하는 급성 관상 동맥 증후군,병원 방문 필요 증상,없음
급성 심장 발작 - ST분절 상승을 동반하는 급성 관상 동맥 증후군,자가 관리 방법,없음
급성 심장 발작 - ST분절 상승을 동반하지 않는 심근경색 - NSTEMI,급성 심장 발작 - ST분절 상승을 동반하지 않는 심근경색 - NSTEMI증상,흉통이 팔로 이어짐 답답한 흉통 흉통 파멸이나 죽음이 임박했다는 느낌 통증이 움직이면 심해지고 휴식을 취하면 호전됨
급성 심장 발작 - ST분절 상승을 동반하지 않는 심근경색 - NSTEMI,병원 방문 필요 증상,없음
급성 심장 발작 - ST분절 상승을 동반하지 않는 심근경색 - NSTEMI,자가 관리 방법,없음
급성 착란상태 - 섬망,급성 착란상태 - 섬망자가 관리 방법,하루에 물 2리터를 섭취합니다.
급성 착란상태 - 섬망,급성 착란상태 - 섬망증상,방향 감각 장애 정신적 단절감 정신 상태에 급격한 변화를 겪은 적이 있음 의식 소실 감소 이상한 방식으로 행동하거나 말함
급성 착란상태 - 섬망,병원 방문 필요 증상,없음
급성 폐쇄각녹내장,급성 폐쇄각녹내장증상,시야 측면 부분의 시력 소실 눈 통증 급성 시력 상실 동공 변화 동공 크기가 중간 정도이고 동공이 빛에 반응하지 않음
급성 폐쇄각녹내장,병원 방문 필요 증상,없음
급성 폐쇄각녹내장,자가 관리 방법,없음
급성 후두기관염 - 크룹 (소아청소년과),급성 후두기관염 - 크룹 (소아청소년과)자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 하루에 물 2리터를 섭취합니다.
급성 후두기관염 - 크룹 (소아청소년과),급성 후두기관염 - 크룹 (소아청소년과)증상,개기침 기도의 공기 통로가 막혀 소음이 발생함 들숨 및 날숨 쌕쌕거림 기침 발성 불능/쉰 소리
급성 후두기관염 - 크룹 (소아청소년과),병원 방문 필요 증상,없음
기계적 경부 통증,기계적 경부 통증자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." "하루에 3~4회 10~15분간 온찜질을 합니다" 통증을 유발하는 동작을 피하세요
기계적 경부 통증,기계적 경부 통증증상,목 통증 힘든 자세로 인한 허리 통증 목을 움직이면 통증이 느껴짐 목 뒤쪽의 뼈가 튀어나온 부위에 통증이 있음 통증이 움직이면 심해지고 휴식을 취하면 호전됨
기계적 경부 통증,병원을 꼭 방문해야 하는기계적 경부 통증증상,발열(38ºC를 초과하는 체온) 사지의 민감성 및/또는 운동성 두통 구토물 목 강직 과도한 발한
기계적 장폐색,기계적 장폐색자가 관리 방법,하루에 물 2리터를 섭취합니다.
기계적 장폐색,기계적 장폐색증상,대변을 보지 못함 복부 크기 증가 간헐적이고 심한 복통 일주일에 배변 횟수가 3회 미만임(변비) 구토
기계적 장폐색,병원 방문 필요 증상,없음
기관지 과민증,기관지 과민증자가 관리 방법,"유발 원인(꽃가루 증기 집먼지진드기 곰팡이 동물 털 찬 공기 아스피린이나 비스테로이드성 항염증제 등의 약물)을 피하세요" "흡입 기관지확장제(살부타몰 포르모테롤 이프라트로피움)를 사용합니다"
기관지 과민증,기관지 과민증증상,호흡 시 쌕쌕거림 운동할 때 숨 가쁨 갑작스런 숨가쁨 야간 기침 코 막힘
기관지 과민증,병원을 꼭 방문해야 하는기관지 과민증증상,"청색증 입술 및/또는 손발톱의 푸르스름한 색조" 호흡곤란 과도한 발한 의식수준 상실 증상이 삶의 질에 영향을 미치는 경우
기관지염,기관지염자가 관리 방법,열이 있는 경우(체온이 38°C 초과) 일반 해열제(이부프로펜 또는 파라세타몰)를 복용합니다 "코울혈 및 콧물이 있는 경우 항히스타민제(세티리진 로라타딘) 및/또는 충혈제거제(슈도에페드린 페닐에프린)가 함유된 코흡입기를 사용합니다" 의사의 지시가 없는 경우 약을 복용하지 마세요
기관지염,기관지염증상,호흡 시 쌕쌕거림 시끄러운 호흡 폐 안에 걸쭉한 점액이 많음 기침 운동할 때 숨 가쁨
기관지염,병원을 꼭 방문해야 하는기관지염증상,호흡곤란 호흡곤란 감각 "해열제(파라세타몰 이부프로펜)로도 멈추지 않는 발열" 점액과 고름이 섞인 가래
기립성 저혈압,기립성 저혈압자가 관리 방법,바닥에 누워 다리를 심장보다 높게 들어 올립니다 하루에 물 2리터를 섭취합니다. 알코올 소비량을 줄입니다 침대에서 천천히 일어납니다 자세를 바꿀 때는 천천히 하세요 어지럽다면 걷지 마세요
기립성 저혈압,기립성 저혈압증상,자세를 빠르게 바꿀 때 어지러움 저혈압 시력 저하 힘 빠짐을 느낌 의식을 잃음
기립성 저혈압,병원을 꼭 방문해야 하는기립성 저혈압증상,머리 부상과 함께 있는 경우 두통 대화하기 어려움 사지의 민감성 및/또는 운동성 시각 장애
기면증,기면증자가 관리 방법,다음과 같은 수면-각성 루틴을 따릅니다. 주말에도 매일 같은 시간에 잠들고 일어납니다. 담배 소비량을 줄입니다 알코올 소비량을 줄입니다 일주일에 3번 규칙적으로 운동합니다 "각성제(모다피닐 아모다피닐 수노시 피톨리산트)에 대해 일반의와 상의하세요"
기면증,기면증증상,낮졸림증 졸림증 지침/피로
기면증,병원을 꼭 방문해야 하는기면증증상,자해를 부추기는 생각 환각
기저귀 발진 (소아청소년과),기저귀 발진 (소아청소년과)자가 관리 방법,기저귀를 주기적으로 갈아주어 피부를 청결하게 유지하고 소변과 대변이 피부에 닿는 것을 최대한 줄입니다 기저귀를 갈 때마다 미지근한 물로 아기의 엉덩이를 씻겨줍니다 "보습제 크림 또는 연고를 주기적으로 바릅니다" 짧은 시간 동안 아기에게 기저귀를 입히지 않거나 연고를 바르지 않은 상태로 두면 피부가 공기에 노출될 가능성이 높아집니다
기저귀 발진 (소아청소년과),기저귀 발진 (소아청소년과)증상,기저귀와 닿는 부위가 붉어짐/발진 외음부 붉어짐 엉덩이 피부가 붉음 기저귀 부위를 만지면 보채거나 울음 생식기 불편감
기저귀 발진 (소아청소년과),병원을 꼭 방문해야 하는기저귀 발진 (소아청소년과)증상,발열(38ºC를 초과하는 체온) 초기 치료 후 2주 넘게 증상이 지속됩니다 출혈 악취가 나는 분비물 소변을 볼 때 통증이 있음 배변 시 통증
기저세포피부암종 - 기저세포암종,기저세포피부암종 - 기저세포암종증상,편평하고 흰 밀랍 같은 피부 병변 피부 종괴가 반투명함 안면 결절 피부 궤양 코 궤양
기저세포피부암종 - 기저세포암종,병원 방문 필요 증상,없음
기저세포피부암종 - 기저세포암종,자가 관리 방법,없음
기질두통,기질두통자가 관리 방법,어둡고 조용한 방에 눕습니다. 이부프로펜이나 파라세타몰과 같은 진통제를 복용하고 일반의와 다른 치료법에 대해 상의합니다 "카페인 알코올 담배 또는 스크린을 피하세요."
기질두통,기질두통증상,두통 "개구 편위 발음 변화 근력이나 감각의 변화" 걸을 때 균형감을 상실함 지속적 두통 복시
기질두통,병원을 꼭 방문해야 하는기질두통증상,구토물 발열(38ºC를 초과하는 체온) 발작을 동반하는 경우 일반의약품이나 이전에 일반의가 처방한 진통제로도 통증이 사라지지 않는 경우 사지의 민감성 및/또는 운동성
기질성 정신병장애,기질성 정신병장애자가 관리 방법,"심인성 운동불안 증상을 보이는 경우 때리거나 자해하지 않도록 제지합니다"
기질성 정신병장애,기질성 정신병장애증상,환시 흥분하면 신체적 및/또는 언어적 공격성을 보임 악취가 나는 환각 환각 머릿속에서 소리가 들림
기질성 정신병장애,병원 방문 필요 증상,없음
기질적 원인으로 인한 여성생식기 출혈,기질적 원인으로 인한 여성생식기 출혈자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 호르몬 치료법에 대해 일반의와 상의하세요
기질적 원인으로 인한 여성생식기 출혈,기질적 원인으로 인한 여성생식기 출혈증상,생식기 출혈 생리 주기 중의 출혈 생리의 양이 너무 많거나 생리 기간이 오래 지속됨 창백함 어지러움
기질적 원인으로 인한 여성생식기 출혈,병원을 꼭 방문해야 하는기질적 원인으로 인한 여성생식기 출혈증상,과도한 다량의 월경 출혈 의식수준 상실 탈수 증상: 평소보다 더 피곤하고 어지럽고 입과 혀가 마릅니다.
